City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tarakan,ID,79.56,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
1,Bourail,NC,78.73,overcast clouds,-21.5667,165.4833,Motel Allamanda
2,Hambantota,LK,75.76,clear sky,6.1241,81.1185,Bungalow 63
3,Poum,NC,80.33,overcast clouds,-20.2333,164.0167,Gîte kajeon
6,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
9,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Atuona,PF,78.48,light rain,-9.8,-139.0333,Villa Enata
18,Hermanus,ZA,75.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
24,Kapaa,US,77.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Zabid,YE,75.25,clear sky,14.1951,43.3152,مغرب التريبه
29,Padang,ID,76.6,scattered clouds,-0.9492,100.3543,Mercure Padang
36,Port Alfred,ZA,75.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
39,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
40,Port Moresby,PG,77.61,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
41,Kavaratti,IN,80.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
44,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
45,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Faanui,PF,81.25,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Rikitea,PF,77.49,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Palauig,PH,75.94,clear sky,15.435,119.9045,Alperi Botique Resort
51,Kudahuvadhoo,MV,82.71,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
54,Oliveira Dos Brejinhos,BR,78.21,broken clouds,-12.3169,-42.8961,Hotel Paraiso
55,Sibolga,ID,75.16,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
56,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
62,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Alappuzha,IN,78.67,few clouds,9.49,76.3264,Panoramic Sea Resort
69,Daru,PG,77.61,light rain,-9.0763,143.2092,Daru Lodge
